Angulo,Calado,Rotacao,Vw,Fx_popa_bom,Fx_popa_bor,Fx_proa_bom,Fx_proa_bor,Fy_popa_bom,Fy_popa_bor,Fy_proa_bom,Fy_proa_bor,Fx_popa_bom,Fx_popa_bor,Fx_proa_bom,Fx_proa_bor,Fy_popa_bom,Fy_popa_bor,Fy_proa_bom,Fy_proa_bor,fx_rotores,fy_rotores,fx_casco_sup,fx,Lift_popa_bom,Lift_popa_bor,Lift_proa_bom,Lift_proa_bor,Drag_popa_bom,Drag_popa_bor,Drag_proa_bom,Drag_proa_bor,CL_popa_bom,CL_popa_bor,CL_proa_bom,CL_proa_bor,CD_popa_bom,CD_popa_bor,CD_proa_bom,CD_proa_bor,Media LIFT,Media DRAG,Mz_popa_bom,Mz_popa_bor,Mz_proa_bom,Mz_proa_bor,Mz_rotor,c_x,P_popa_bom,P_popa_bor,P_proa_bom,P_proa_bor,Pcons
60,16,100,10,78942,82479,67453,82816,661,-14259,4633,-11647,78.9,82.5,67.5,82.8,0.7,-14.3,4.6,-11.6,311.7,-20.6,25.0,336.7,68.0,78.6,56.1,77.5,40.0,28.9,37.7,31.3,6.5,7.5,5.3,7.4,3.8,2.8,3.6,3.0,70.1,34.5,-2058.9,-2028.9,-2169.6,-2343.8,8601.2,7.421,23956.3893128742,23607.3234624753,25244.442300846,27271.3513388287,133.439341886699
60,16,100,12,94681,105887,77767,103508,-1712,-23851,4673,-19827,94.7,105.9,77.8,103.5,-1.7,-23.9,4.7,-19.8,381.8,-40.7,35.0,416.8,82.9,103.6,65.0,99.6,45.9,32.3,42.9,34.6,5.5,6.9,4.3,6.6,3.0,2.1,2.8,2.3,87.8,38.9,-2150.7,-2152.5,-2325.7,-2483.9,9112.8,6.314,25024.5308150947,25045.4747661186,27060.7482757547,28901.4888601914,141.376323622879
60,16,180,6,24452,26635,23478,27583,4866,1091,4505,524,24.5,26.6,23.5,27.6,4.9,1.1,4.5,0.5,102.1,11.0,9.2,111.4,18.7,22.5,18.1,23.6,16.4,14.3,15.6,14.2,5.0,6.0,4.8,6.3,4.3,3.8,4.1,3.8,20.7,15.1,-7222.3,-7394,-7284.4,-7395.9,29296.6,6.756,151263.497480144,154859.573870953,152564.11683873,154899.367377898,818.115407423633
60,16,180,10,79421,84069,60611,84061,9148,7356,-7339,10764,79.4,84.1,60.6,84.1,9.1,7.4,-7.3,10.8,308.2,19.9,30.5,338.7,64.2,69.1,56.2,67.4,47.6,48.4,23.9,51.4,6.1,6.6,5.3,6.4,4.5,4.6,2.3,4.9,64.2,42.8,-6114.9,-6085.7,-6531.9,-6481.5,25214,7.337,128070.166116242,127458.602746343,136803.793693221,135748.218561615,704.10770815656
60,16,180,12,121383,130102,107916,128625,9284,-13562,16268,-10411,121.4,130.1,107.9,128.6,9.3,-13.6,16.3,-10.4,488.0,1.6,37.0,525.1,100.5,119.5,85.3,116.6,68.7,53.3,68.0,55.3,6.6,7.9,5.6,7.7,4.5,3.5,4.5,3.7,105.5,61.3,-6425.4,-5975,-6458.2,-5706.3,24564.9,8.069,134573.262909172,125140.107367993,135260.224502757,119512.467727863,685.981416677048
90,8.5,100,6,23352,20643,25248,25144,13327,14123,10894,14663,23.4,20.6,25.2,25.1,13.3,14.1,10.9,14.7,94.4,53.0,9.1,103.5,23.4,20.6,25.2,25.1,13.3,14.1,10.9,14.7,6.2,5.5,6.7,6.7,3.5,3.7,2.9,3.9,23.6,13.3,-2105.7,-2237.1,-2105,-2234.2,8682,6.243,24500.9320394964,26029.8404642434,24492.7871696538,25996.0974320382,134.692876140576
90,8.5,100,10,47278,48873,60336,62881,22637,25862,22478,24003,47.3,48.9,60.3,62.9,22.6,25.9,22.5,24.0,219.4,95.0,16.2,235.5,47.3,48.9,60.3,62.9,22.6,25.9,22.5,24.0,4.5,4.7,5.7,6.0,2.2,2.5,2.1,2.3,54.8,23.7,-2225,-2320,-2233.3,-2401.5,9179.8,5.223,25889.0505712492,26994.425764179,25985.6254565262,27942.7213244292,142.415764155178
90,8.5,100,12,78610,71290,91380,84295,26937,23737,26953,29222,78.6,71.3,91.4,84.3,26.9,23.7,27.0,29.2,325.6,106.8,36.2,361.7,78.6,71.3,91.4,84.3,26.9,23.7,27.0,29.2,5.2,4.7,6.0,5.6,1.8,1.6,1.8,1.9,81.4,26.7,-2424.3,-2322.2,-2274.1,-2100.4,9121,5.383,28208.0113707324,27020.0239265415,26460.3550130687,24439.2637392593,141.503538732802
90,8.5,180,6,20496,19717,22022,21486,9637,10854,9863,10846,20.5,19.7,22.0,21.5,9.6,10.9,9.9,10.8,83.7,41.2,8.4,92.2,20.5,19.7,22.0,21.5,9.6,10.9,9.9,10.8,5.4,5.2,5.8,5.7,2.5,2.9,2.6,2.9,20.9,10.3,-7178.8,-7183,-6925.8,-7041.5,28329.1,5.537,150352.435610603,150440.400204903,145053.616001548,147476.831135017,791.097710602761
90,8.5,180,10,48720,43510,61360,59980,28370,26170,29390,28340,48.7,43.5,61.4,60.0,28.4,26.2,29.4,28.3,213.6,112.3,20.4,233.9,48.7,43.5,61.4,60.0,28.4,26.2,29.4,28.3,4.6,4.1,5.8,5.7,2.7,2.5,2.8,2.7,53.4,28.1,-6895.3,-7354.7,-6646.7,-6369.4,27266.1,5.085,144414.825495318,154036.476595712,139208.159270769,133400.401651832,761.413150684841
90,8.5,180,12,68135,69718,89658,88623,39250,40406,39324,39850,68.1,69.7,89.7,88.6,39.2,40.4,39.3,39.9,316.1,158.8,24.2,340.3,68.1,69.7,89.7,88.6,39.2,40.4,39.3,39.9,4.5,4.6,5.9,5.9,2.6,2.7,2.6,2.6,79.0,39.7,-6871.4,-6825.9,-6571.3,-6222.4,26491,5.227,143914.265065846,142961.315294257,137628.985363564,130321.640851314,739.768275433308
90,16,100,6,26958,19561,28762,21645,12879,9344,12172,10294,27.0,19.6,28.8,21.6,12.9,9.3,12.2,10.3,96.9,44.7,5.2,102.1,27.0,19.6,28.8,21.6,12.9,9.3,12.2,10.3,7.1,5.2,7.6,5.7,3.4,2.5,3.2,2.7,24.2,11.2,-2224.1,-2345.7,-2093.3,-2274.7,8937.84493792551,6.410,25879.1014722434,27293.4588426873,24356.6514879982,26467.3363300767,138.662064177341
90,16,100,10,67097,52826,75516,61125,27066,23353,27298,23112,67.1,52.8,75.5,61.1,27.1,23.4,27.3,23.1,256.6,100.8,15.9,272.5,67.1,52.8,75.5,61.1,27.1,23.4,27.3,23.1,6.4,5.0,7.2,5.8,2.6,2.2,2.6,2.2,64.1,25.2,-1967,-2241.5,-2111.9,-2453,8773.4,6.109,22887.084257819,26081.0367889686,24573.0723152455,28541.9510342806,136.110859195085
90,16,100,12,89024,78610,95663,81665,31220,28747,30004,27651,89.0,78.6,95.7,81.7,31.2,28.7,30.0,27.7,345.0,117.6,24.3,369.3,89.0,78.6,95.7,81.7,31.2,28.7,30.0,27.7,5.9,5.2,6.3,5.4,2.1,1.9,2.0,1.8,86.2,29.4,-2051.8,-2230.8,-2216,-2596.4,9095,5.704,23873.7770616131,25956.5366356597,25784.3308161296,30210.4857991872,141.100173750119
90,16,180,6,25856,20966,25642,20478,9654,8481,8973,8875,25.9,21.0,25.6,20.5,9.7,8.5,9.0,8.9,92.9,36.0,3.3,96.3,25.9,21.0,25.6,20.5,9.7,8.5,9.0,8.9,6.8,5.5,6.8,5.4,2.6,2.2,2.4,2.3,23.2,9.0,-6997.1,-7197.5,-6958.3,-7073.4,28226.3,6.147,146546.919709554,150744.08749475,145734.294409826,148144.94317268,788.226993049081
90,16,180,10,73910,54290,81290,60970,35090,26890,34940,28010,73.9,54.3,81.3,61.0,35.1,26.9,34.9,28.0,270.5,124.9,14.1,284.5,73.9,54.3,81.3,61.0,35.1,26.9,34.9,28.0,7.0,5.2,7.7,5.8,3.3,2.6,3.3,2.7,67.6,31.2,-6417.5,-6997.1,-6299.8,-6439.5,26153.9,6.440,134407.805696083,146546.919709554,131942.702660567,134868.57261861,730.354667579752
90,16,180,12,108992,77137,114723,90352,50000,37207,47597,40189,109.0,77.1,114.7,90.4,50.0,37.2,47.6,40.2,391.2,175.0,22.1,413.3,109.0,77.1,114.7,90.4,50.0,37.2,47.6,40.2,7.2,5.1,7.6,6.0,3.3,2.5,3.1,2.7,97.8,43.7,-6326.6,-6700.3,-6184.2,-6259.6,25470.7,6.468,132504.000548008,140330.755045651,129521.5819222,131100.755829404,711.276124460352
120,8.5,100,6,20397,11760,24789,17086,23794,17412,26632,20594,20.4,11.8,24.8,17.1,23.8,17.4,26.6,20.6,74.0,88.4,0.3,74.4,29.6,18.9,34.8,25.1,10.4,9.2,10.7,9.3,7.8,5.0,9.2,6.6,2.8,2.4,2.8,2.5,27.1,9.9,-2037.3,-2225.7,-2030.7,-2209.6,8503.3,4.896,23705.061900587,25897.1954410919,23628.2674134992,25709.8634347111,131.920517586519
120,8.5,100,10,44409,38124,66832,48384,46188,47720,61983,50462,44.4,38.1,66.8,48.4,46.2,47.7,62.0,50.5,197.7,206.4,-1.4,196.3,61.6,56.9,88.9,67.1,17.8,22.3,20.3,19.5,5.9,5.4,8.5,6.4,1.7,2.1,1.9,1.9,68.6,20.0,-2103.4,-2128.9,-2003.3,-2368.2,8603.8,4.708,24474.1703242992,24770.8762971382,23309.4539368016,27555.2582304865,133.479678384967
120,8.5,100,12,56670,54580,84110,65530,54540,63840,73640,64650,56.7,54.6,84.1,65.5,54.5,63.8,73.6,64.7,260.9,256.7,-2.8,258.1,76.3,79.2,109.7,89.1,18.9,28.0,21.7,23.2,5.0,5.2,7.3,5.9,1.2,1.9,1.4,1.5,88.6,23.0,-2170.3,-2172.9,-2073.1,-2510.3,8926.6,4.314,25252.5871706886,25282.8395443899,24121.6138153963,29208.6668085424,138.487609785356
120,8.5,180,6,16527,10749,16423,13463,22058,17617,17276,18774,16.5,10.7,16.4,13.5,22.1,17.6,17.3,18.8,57.2,75.7,0.2,57.3,25.3,18.1,22.9,21.0,10.8,9.9,6.8,9.5,6.7,4.8,6.0,5.6,2.9,2.6,1.8,2.5,21.8,9.2,-6875.9,-7088.4,-7013.9,-7007.1,27985.3,3.781,144008.512845454,148459.102438039,146898.778086756,146756.359219794,781.497003453391
120,8.5,180,10,46860,33970,66620,47270,56130,49900,71580,57300,46.9,34.0,66.6,47.3,56.1,49.9,71.6,57.3,194.7,234.9,-0.7,194.0,68.6,54.4,93.5,69.6,25.2,26.2,28.7,26.0,6.5,5.2,8.9,6.6,2.4,2.5,2.7,2.5,71.5,26.5,-6374.1,-6523.4,-6206.2,-6333.4,25437.1,4.636,133498.838221645,136625.770109518,129982.348844726,132646.419414971,710.337835454479
